tick,N,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h
286000,5000,6071,0.8348829146265256,0.349764592171164,0.46747950662009335,0.59404266051719,0.9223352355352575,0.0015396259626621108,-0.0005821764623735824,0.005787011357422861,54593,57482347.642211705,214.1,0.0571
288000,5000,6080,0.8347814664425927,0.3496944547235885,0.4675107449920738,0.593197530816559,0.9170727763070976,0.0013136488391988451,-0.00011261414719117639,0.005994444377854711,54594,61681221.012781575,215.1,0.0594
290000,5000,6064,0.8346517333308666,0.34966595354850455,0.46745529304860467,0.5924141967051769,0.9260723537125377,0.0017457274635835573,4.5837488893447984e-05,0.005372575362399281,54594,64585646.52266902,215.6,0.0618
292000,5000,6059,0.8347865723388943,0.349726302607928,0.46766926998951913,0.592639946468175,0.9166983537125376,0.00020751402622188963,-0.0001996169451123383,0.005615616257344204,54594,64753058.95992846,215.6,0.0644
294000,5000,5991,0.834973112257546,0.3495750944808789,0.46769904488835834,0.5925486541647434,0.9202481617125376,0.0003973902861442354,2.060945409901669e-05,0.005263344328574427,54597,69567923.75916937,217.5,0.0664
296000,5000,6055,0.8346553488546448,0.3497117419284382,0.4679655398722697,0.5926462227582082,0.9177721617125377,0.0019816699914922803,-0.00020187826463531025,0.00750043406957592,54601,69417910.12791553,217.7,0.0689
298000,5000,5994,0.8350583706662968,0.3493926437366851,0.46827371270357215,0.5933533030358527,0.9179361617125378,0.002708656666170096,-3.498785496284031e-05,0.009694935616963515,54602,53428504.516800925,214.2,0.0726
300000,5000,6004,0.8344563136869281,0.35099694506673884,0.46574230497526176,0.5900102970346485,0.9200007208456192,0.0009340477259734194,-0.00043099674141911545,0.007887974414617315,54602,47462838.605573714,211.3,0.0762
302000,5000,5996,0.8344710542519995,0.35115750673830814,0.4654610750203739,0.5898821369928824,0.9155573818478592,0.000471019731512617,0.0001991763915271984,0.005908456641461164,54603,49010799.64733891,211.0,0.079
304000,5000,6001,0.8344401081551914,0.3511850601895314,0.46529437533791496,0.5899364412071096,0.9134766894714063,0.001222895637242765,-0.0002803912904199332,0.005323104334691139,54605,54042734.19348121,254.0,0.0022
306000,5000,5999,0.8342114372938487,0.3511580135120813,0.4653158222517457,0.5890748528073407,0.9076649890456782,0.0014989372082603748,-0.0004918292144607371,0.00618976666566157,54606,58804552.168129206,251.7,0.0044
308000,5000,5974,0.8340654912783666,0.35123226344302233,0.4651628650344155,0.5882892958860222,0.9273309890456781,0.0006285618979533691,0.00013660989908555082,0.0058090609254739176,54606,63093236.041896105,247.0,0.0067
310000,5000,5983,0.8339985365305751,0.3511241542801359,0.465107430629675,0.5881458245725669,0.91347625097003,0.0016820755006698982,-0.0006654616489151358,0.006824702218603053,54606,64451770.24259402,243.5,0.0091
312000,5000,6013,0.8341859177670511,0.3513142976522245,0.46491834911650187,0.5884497742914074,0.92349369737003,7.179087231186737e-05,-0.00016875273481468343,0.005307624275841725,54606,66545640.92283351,241.1,0.0115
314000,4998,5999,0.8336208992942209,0.3516653553503513,0.4660335664321474,0.5887633118046867,0.9129788889256003,0.0015303097246372058,8.374742783032329e-05,0.005593830046201112,54607,70623089.4553419,246.1,0.0135
316000,5000,6022,0.8334933531600229,0.3517021316253461,0.46613750393878983,0.5886858959132593,0.9263816973700301,0.0027022838302555576,-9.669342381886885e-05,0.008608971493830699,54610,64668369.8859401,234.0,0.0166
318000,5000,6040,0.8337370678966097,0.35223673308536224,0.46471560772934345,0.5880621759167687,0.91726569737003,0.003234331914125666,2.6715420448771598e-05,0.009396162109654025,54612,49728684.55398747,215.4,0.0206
320000,5000,6077,0.8335800937886448,0.3528058087086647,0.46403597593022516,0.587714854015991,0.9167175971928473,0.0016915829083038812,-0.00010985482065073673,0.006567329472213544,54612,47400161.75837024,207.2,0.0241
322000,5000,6063,0.8334713913966,0.35273646255727253,0.4642603683970136,0.5871451254568488,0.9200238734782874,0.0008829465069980309,0.00017777325029681864,0.005779780495689113,54613,50626349.000814065,207.9,0.0267
324000,5000,6052,0.8335104769028123,0.35279436537293984,0.4642309761945638,0.5873973362725017,0.923139827584426,8.615459820913203e-05,-0.0003514988759587674,0.005569213900233686,54613,56012649.66529909,212.4,0.0288
326000,5000,6039,0.8334386852872536,0.35275718254902344,0.46421657185290044,0.5864600687613197,0.9112754792784037,0.0016031579725117834,-0.0002528641982989676,0.005956802374146678,54613,60230844.89012975,215.0,0.031
328000,5000,6079,0.83338872356826,0.35284909206726045,0.46372977832962387,0.5857809724428914,0.9143437612914851,0.0010835625325898235,3.7460528393122305e-06,0.005800423482683997,54614,63410831.11704215,215.8,0.0335
330000,4999,6058,0.8334470702633703,0.3527791703454668,0.46394302863872805,0.5859025495744065,0.9193211530484949,0.0019006274206832844,-0.00023856164604178635,0.00650485253863403,54614,63806636.187339485,216.3,0.036
332000,5000,6025,0.8338317996571403,0.3527032601466621,0.4637797876257453,0.5863391079022426,0.9248112459378852,0.00016289786522707275,0.00010381220011368863,0.0051875996718362015,54615,68118731.01066852,218.7,0.0381
334000,5000,6033,0.8331403948180256,0.35325463782248423,0.46467554442950676,0.5862787959600573,0.9190232459378853,0.0015175844892615495,-0.00024912862983078073,0.006611103075059421,54618,69907256.97794154,220.7,0.0403
336000,5000,6047,0.8338225647900658,0.35266062995485065,0.4648137293392828,0.5867377137360583,0.9289232459378851,0.0031291988106143817,-0.00022594711547926422,0.010937628253075763,54623,56271492.27000361,216.8,0.0436
338000,5000,6021,0.8336204456110041,0.35406859647201494,0.46232252371026433,0.5846035765544427,0.9295459909830573,0.00187454929023061,-0.00021128706453535555,0.00765992186476612,54626,47649154.70864834,211.2,0.0473
340000,4999,6038,0.8335162611307856,0.35407361007960647,0.46208058049444545,0.5836260141628505,0.9240717858493089,0.0008974271439611765,-0.00045163221031897403,0.006290627879872128,54627,48034991.596140236,209.8,0.0503
342000,5000,6018,0.8337772527732946,0.354083862773083,0.4616596430641988,0.5837045496351042,0.9245291172805968,2.343776931872593e-05,-0.00021668960287104331,0.0053377141768228475,54631,52541405.92042777,211.5,0.0525
344000,5000,6022,0.8338412221017006,0.353850603179483,0.46137301486175947,0.5833000802398645,0.9278783006129488,0.0002886986465437827,4.819628058712853e-05,0.005202690517362422,54633,57882067.89212306,213.8,0.0546
346000,5000,6033,0.8337653285793158,0.35358264835655484,0.46132782394807054,0.5828268827183082,0.9308289934881308,0.0005283011704502794,0.00015601048581686424,0.005434967954125931,54634,61984975.97371702,214.7,0.0569
348000,4999,6050,0.8338014403429885,0.3537119689470365,0.4613338113547751,0.5827094620874983,0.9204985408278817,0.0003559955538904187,-0.00014416340651354702,0.005544204502140232,54636,64156891.2434054,215.1,0.0594
350000,5000,6014,0.8340309787597889,0.35345430265172517,0.46182568314460287,0.5831291402507335,0.9207702011197162,0.00047891176105308275,3.280713563656398e-05,0.004875975880283688,54639,65224162.54275831,215.5,0.0619
352000,5000,5983,0.8336579761573838,0.35363529766335866,0.46227667798167893,0.5831712423117571,0.9317480068157161,0.0010507149574935733,-5.720180530058289e-06,0.004955020626849185,54640,69524829.8477273,217.5,0.0639
354000,4997,5989,0.8334655888096819,0.3537729930660946,0.4625034079016251,0.5830160557581927,0.9163318058992557,0.002435014445620114,-0.0004718749102781705,0.007848893750397854,54645,66272624.338810354,217.5,0.0664
356000,5000,5988,0.8336293276602311,0.35413692821046566,0.4611360041787804,0.5817592296393493,0.9347180068157163,0.0032095121564488047,-0.00049931806900783,0.00944958397258632,54649,50908750.14958925,213.4,0.0703
358000,5000,5972,0.8333976238530653,0.35470069703646834,0.45995730436226184,0.5804912078007183,0.9256515427023192,0.00046808609604541494,-5.7732022592913924e-05,0.0068453485844671745,54651,46732532.62596943,211.2,0.0736
360000,5000,6001,0.8334824119789075,0.35454353116248993,0.4598707804616179,0.5800505260702948,0.9305383975119191,0.0003849369173599908,-8.587870807358122e-05,0.006152977364601207,54652,49457764.19936688,211.3,0.0762
362000,5000,5998,0.8335211508744033,0.35451799682310564,0.4598596291454078,0.5804522941214546,0.9307077139204774,2.2959637625975337e-07,-9.433639855894367e-05,0.004565158006364902,54652,54814329.84909798,212.8,0.0783
364000,5000,6030,0.8334859157086568,0.3545222009929499,0.4598767962958235,0.5803750841923828,0.9264247947905047,0.0004992207685810845,-0.0005634016901606121,0.005441174177738792,54652,59224926.310349494,245.9,0.0023
366000,5000,5982,0.8333705332375801,0.3545266573066075,0.45945111725686194,0.5796992957902026,0.923731695278877,0.0007275660342350362,-7.758650681747144e-05,0.005473413136621793,54653,62628513.54240611,244.0,0.0046
368000,5000,5978,0.8334476803365222,0.35437096272973867,0.4595110789231698,0.579711940410075,0.9288891528957729,0.0006587708214701937,-8.255909291124384e-05,0.006050215880422015,54653,63690925.76848584,238.8,0.007
370000,5000,5988,0.8338173020145172,0.3543504885470754,0.4595986096126202,0.5804987218037175,0.9342929836797728,6.916364290661455e-06,-0.00010060757565253715,0.004601882091053312,54653,67097596.472353324,242.9,0.0092
372000,5000,5986,0.8336056743004224,0.35452936589288964,0.4601441957324102,0.5806349726182252,0.9293189836797731,0.0012698892044909868,-1.7451906464813116e-05,0.0065532701193843365,54653,70109361.36619405,247.8,0.0112
374000,4997,5973,0.8337992669690655,0.3541701534984745,0.46025692106239147,0.5809207913759118,0.9324804719629508,0.0030773652991566477,-0.0003739260568804219,0.009423095255775175,54654,60210687.82068965,230.5,0.0145
376000,4999,5993,0.8332944762292558,0.35612371151922156,0.4567721980040284,0.5773751525385589,0.9281126062010132,0.002651568472079418,-9.537966721511031e-06,0.007544296715715028,54655,47800381.35678543,213.5,0.0182
378000,5000,5987,0.8331263096835558,0.3561406950812718,0.45690437251516314,0.5769471560067531,0.9378722123890555,0.0015872434828064802,-0.00044479951998554356,0.006392335233227411,54655,47631534.51564947,210.7,0.0211
380000,5000,6000,0.8329088265024882,0.35624822653101534,0.4566620092335417,0.5762718508727758,0.9288072962367354,0.00041361757127227836,-0.00011122818927839797,0.005531855218776083,54656,51355577.246365584,213.6,0.0234
382000,5000,5956,0.8328875056099987,0.3562292005792384,0.45662119657546646,0.5762490932683724,0.9323413306194874,0.0005303677522592524,1.2474752421196208e-05,0.005516213708430578,54656,56780098.968940444,218.7,0.0254
384000,5000,6025,0.8327429911497702,0.35608550276401124,0.4567869760011207,0.5759625566638937,0.9226404140596038,0.0009713709821194132,8.54039180664161e-05,0.005817959407088928,54656,60777659.1150295,220.5,0.0277
386000,4999,6002,0.8326661997528998,0.35648069697640267,0.45609715754498215,0.5753561373755498,0.9244719949428069,0.0006982632922668514,0.00010100346916118891,0.0055115165592132444,54658,63439351.36911813,222.0,0.03
