tick,N,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h
34000,5000,5752,0.8284810188968399,0.3809500334523941,0.40318945615730545,0.533662871231567,0.94776664,0.00632598353127359,-0.0038143016615381884,0.0117995631173359,18219,18125934.534934282,131.8,0.0716
36000,5000,5792,0.8285567203989773,0.3812896527827499,0.40266137941881663,0.5341855225244473,0.9490026400000001,0.005781529600994747,-0.002074764110939254,0.008935274348038756,18227,22383041.402297378,133.5,0.0749
38000,5000,5810,0.8298655175271399,0.38216976121942237,0.40123431452077657,0.539852055097471,0.94504264,0.00568727506067614,-0.002112761755774155,0.00815426477366849,18227,27050442.530394122,135.5,0.0779
40000,5000,5764,0.8300955496614119,0.38414959203998117,0.39990258718763827,0.5406413133862311,0.9590886399999999,0.005649342842560961,-0.0014189609148708695,0.007543444028933679,18227,31527063.18295174,137.4,0.0809
42000,5000,5810,0.8347601490084867,0.37505343542725067,0.41978686122115233,0.5639723383271139,0.9189286400000001,0.005587134009315707,-0.004076932774917155,0.010888924984608276,18322,34076271.67092772,138.4,0.0843
44000,5000,5911,0.8373685862239075,0.36701151020487455,0.4344871662056915,0.578579256978533,0.945692,0.004983909577572231,-0.0004222574189122652,0.0047966016099092856,18493,37785599.10343773,139.7,0.0875
46000,5000,5801,0.8296117122070876,0.37125792014715664,0.44453583988822104,0.5789107501794115,0.9345240000000001,0.0049026077109747025,-0.0011162540720124616,0.006512563127970833,18618,39700284.8827869,140.9,0.0907
48000,4999,5898,0.8305617278459843,0.36649342719169914,0.44732625240141366,0.5808040763027225,0.9298251650330066,0.005264568862170712,-0.0007003058789281817,0.00925069317068217,18715,34615742.34700331,140.8,0.0947
50000,5000,6002,0.842452295857744,0.35094808123547616,0.47420103976720485,0.6297184899997268,0.9174432000000001,0.004247387310817521,-0.0008141155416690728,0.009100230223535474,18784,27534129.31597079,140.0,0.0992
52000,4999,5998,0.8528470853912427,0.3471314445513407,0.4840827332570259,0.6634922630994136,0.9193410682136427,0.0043351694906073185,-0.00042740493161693246,0.0071451141360688785,18801,28037103.3405864,140.1,0.1031
54000,5000,5963,0.8555816714516579,0.34830111717823053,0.4829683842170495,0.6747192030698352,0.9192644,0.003301210571614607,-0.0017741214916968265,0.007221518981185662,18820,32653974.643519863,141.2,0.1063
